Customer_Age,Gender,Account_Balance,Num_Transactions,Credit_Score,Years_with_Bank,Loan_Amount,Has_CreditCard,Churn
54,Female,84823.2442323882,46,667.1261180765085,18,7852.495501231603,0,0
68,Female,87366.79090950692,39,596.415948210475,10,21039.855552885972,0,0
24,Male,17283.64382143438,37,657.5927701387133,9,19301.362718707238,0,0
38,Female,78676.82109616381,38,799.9188598154674,3,16423.798673498033,0,0
26,Male,94964.77511565265,56,777.6128875424138,1,11549.465195348064,1,0
56,Male,98934.42043508941,48,676.4967404504987,11,11746.154475828731,1,0
35,Male,73009.49314712797,41,694.0838776446042,16,13385.623175987126,1,0
21,Male,33565.05355640256,45,683.0043124914275,3,5145.344470977874,1,0
42,Male,75749.52100868836,42,628.7196323514574,9,14685.852411224349,1,0
31,Female,38268.69111960208,34,784.1583835667402,11,22136.816323575993,1,0
67,Female,51425.87084608365,36,742.3685437815957,17,22010.969518672187,0,0
26,Male,69577.05392612047,41,666.4060934336883,1,11953.185829788377,0,0
43,Female,39881.01633453152,41,634.8207843004118,9,23512.666181804292,0,1
19,Male,31339.99233205539,35,639.3629473109518,3,30247.23643623556,1,1
37,Male,71644.33296227058,48,673.7142376729726,10,12470.339717897381,0,0
45,Male,106680.60510780787,33,647.546667137459,5,20532.117651457345,0,0
64,Female,91080.85826198659,48,729.7656359642681,11,0.0,0,0
24,Male,77679.65462625238,43,683.5318809930734,5,4934.82617454407,0,0
61,Male,84479.63588974334,46,583.2378651542283,12,15728.96823466816,1,0
25,Female,75942.98742954791,47,569.7369512788796,14,6946.135499852895,0,0
64,Female,71247.50573523482,36,719.3559569838872,12,31313.61635777959,0,0
52,Female,82465.44598996617,33,569.0564170331279,19,19783.037498372425,1,0
31,Male,25790.922698649447,44,625.5972944809926,9,22726.653174865045,1,1
34,Male,64987.13248607283,29,619.2262663425932,7,14767.788750715303,1,0
53,Female,57976.29484390392,46,563.3054186689985,16,6974.335841090783,0,0
67,Male,61972.57077861409,45,671.7145695371614,7,10849.517742600958,0,0
57,Female,48465.69463133026,39,641.3329260183077,14,17035.04383701088,0,0
21,Female,73012.19611935581,51,605.3528963492817,8,9896.67729272791,1,0
19,Male,39551.79975780983,39,795.9630877878307,18,20369.5359338176,0,0
23,Male,46653.626765199144,35,479.83471470891544,3,20691.319753637108,1,1
59,Female,43653.00215869749,31,589.5644666761962,2,15039.850431516707,1,1
21,Female,81598.66593174673,37,609.6276522171786,5,394.9193038640042,1,0
46,Female,59706.91241977017,42,554.9135912047171,8,28718.279469327674,0,1
35,Female,48479.191505080926,48,808.0535389161389,19,13298.617146483859,1,0
43,Male,50664.257624595484,33,807.3149836194716,9,36674.213187768284,1,1
61,Female,60097.015417010174,43,602.0878357409852,2,20220.28557081756,0,1
51,Female,100554.37297174634,35,738.811551999084,15,13320.359386143544,1,0
27,Female,29086.9915913332,40,691.7579164943132,8,18582.575011984034,1,0
53,Male,76887.74994199464,43,765.928042501625,10,0.0,0,0
31,Male,71796.55845077519,36,642.4956701531296,7,23209.13922588773,0,0
48,Female,37925.865038830605,29,680.2125966013618,19,35535.52990023581,1,1
65,Male,96671.83225386716,32,748.1782215554408,1,0.0,1,0
32,Male,73482.01127201691,42,737.4716453265984,2,12700.72792139434,0,0
25,Male,47306.66741925608,35,660.6144345585722,3,14157.29501766779,1,1
31,Female,13514.6668513435,42,584.0197197606302,14,22001.82903330451,1,1
40,Female,65728.67086247781,45,596.5650160561847,15,31847.80539332429,1,0
57,Male,58881.36038110042,37,520.5570901613722,14,18063.05698076452,1,0
38,Female,34232.17671834702,49,705.1087366220767,8,32134.33459372422,0,0
33,Female,33909.63974660908,43,664.8514762403008,18,16363.459815077298,1,0
62,Male,81712.74667798763,42,670.2484632151595,17,18611.390550369837,1,0
35,Male,11107.627316975122,31,648.2383668815809,7,17625.88452928204,0,1
64,Female,67857.0688768259,49,569.9655187768401,1,24762.39826404069,1,1
41,Male,55314.07561722846,38,671.8831986427432,9,11621.431535118374,1,0
43,Female,72428.87070883598,44,692.3675741083654,9,21546.294070092074,1,0
42,Female,52642.374753494965,42,589.2277486509134,11,5153.627149948583,1,0
62,Male,67331.87413150787,39,648.0156104558283,19,12723.967162788726,0,0
58,Female,41430.62888678227,35,604.6155924693871,6,9906.051016489535,0,0
46,Female,58769.87709566579,42,634.9120685070843,7,15703.692468943538,1,0
32,Male,72227.09695376856,39,570.5220500369198,15,12471.362004769746,0,1
62,Male,63771.796781886755,33,631.2261658586012,6,24057.0695396558,0,0
18,Male,69507.67106003861,43,763.9170140213871,9,7970.65523862686,0,0
42,Female,36801.967513708834,46,614.8660547802937,15,1149.4725135118988,1,0
24,Male,45233.1359528787,45,602.3357534875045,6,4141.729442307542,1,0
26,Male,45666.50401960137,41,606.7317736589117,7,22953.344370410552,0,0
41,Male,53087.75611033118,35,636.6849205054207,17,7243.541253470224,0,0
18,Male,93964.57174044571,39,775.4624931694713,6,18182.755324165668,0,0
61,Female,51145.53111160747,43,748.3989308383749,9,12641.699974015362,0,0
25,Female,31411.01350586249,37,639.9605983502053,3,21593.95243802604,0,1
41,Male,73541.14219626482,29,605.00263983566,14,13153.874359067118,0,0
28,Female,93666.08578586203,40,526.731384611034,6,37114.788128937085,0,1
68,Male,28469.70370369227,40,586.2077914176549,4,30184.93612654804,1,1
34,Male,109320.26886795225,29,511.78207511920334,16,12478.31855675446,1,0
25,Female,70379.41505807679,35,701.8082125176784,16,11382.923287240112,1,0
52,Female,85847.26972670977,34,743.4889324808534,9,40058.60920646769,1,0
52,Male,96676.79087608287,50,623.7338194098432,4,6369.192309371283,0,0
50,Male,84315.44106769355,51,676.8726289891085,8,14559.811616653207,1,0
22,Female,57236.61007480795,31,573.7708671689464,8,15179.59135764342,0,1
59,Male,90442.45360478538,30,514.2079814835828,6,14981.296817483406,1,0
56,Female,66364.99424677299,41,653.8972014547709,8,1090.3062357557883,1,0
58,Male,87262.118122691,42,676.8339497793589,6,18972.81927740752,0,0
45,Male,89996.88709451708,41,769.2781640212423,14,7237.199268861465,0,0
24,Female,32727.585250680786,38,794.4228393520906,14,26487.91299335257,1,0
26,Female,79857.52829942516,30,630.5002330963559,18,3352.279660523025,1,0
25,Female,55452.70203716571,38,713.8480343973962,13,15475.72741900381,1,0
29,Female,63454.76591960037,37,672.0563163428702,15,0.0,1,0
51,Female,63177.31872106994,44,650.1589889255861,3,0.0,1,1
50,Female,62174.25543938395,38,647.3765800381129,6,8285.184333658939,0,0
65,Female,98088.13280572597,42,639.8535384704194,17,9414.319341303773,0,0
40,Male,25838.809327648414,38,642.865293611933,16,26725.811303915478,0,0
41,Male,16941.41607825535,38,765.9629600295079,6,14675.265309904815,0,0
54,Male,11667.748208360666,45,665.0204847598554,8,25339.25520729243,0,1
52,Female,86728.60659839783,36,771.9303134973029,13,11961.707242586584,0,0
61,Female,40664.062703308504,39,587.1183397420307,13,19848.681463042652,1,0
57,Female,63304.66173787216,49,451.70872749902236,17,9196.197464648794,0,1
39,Male,57132.07189688552,42,617.5973885800785,3,8652.21544721119,1,0
44,Female,37840.6214840005,38,591.4765419230762,13,433.19888865684334,1,0
52,Female,81286.93093889247,42,545.4495004411823,7,17686.031950810197,1,0
18,Male,56813.42579456539,42,741.045514305847,5,17096.667317601197,1,0
52,Female,54056.623074040384,36,556.452579017361,11,21218.50309828682,1,0
54,Male,65821.78269350628,56,690.7950097822484,18,16719.346297131164,1,0
64,Male,78019.30212095543,44,790.9936025648161,4,31209.56781755174,1,0
31,Female,36025.5939116388,43,569.5059909849417,7,16408.221093420078,1,0
20,Female,81822.95868333217,36,633.8343863785522,4,22934.613714704967,0,0
18,Female,96246.33799433373,34,744.6895715287967,10,12407.12733600718,0,0
22,Male,24346.940780970595,33,620.9220537015502,1,7732.239725588889,1,1
43,Male,66957.47447819579,59,673.2672642338822,17,20741.56136149309,1,0
31,Male,52376.94469106682,42,694.7505861405468,5,14286.816097437273,0,0
56,Female,77480.7645180035,46,662.1516371511308,17,21656.344367436966,1,0
44,Female,29583.51968682872,34,618.6180707469393,3,17823.492334757448,0,1
26,Female,100723.45564108939,55,595.338371236674,9,8655.89338567875,1,1
32,Female,19802.62983927327,31,573.3653866986734,3,23594.70302141623,1,0
32,Male,53892.976505586645,40,691.7559670340356,3,8030.480369722659,1,0
43,Male,70857.401899884,32,603.9479904518842,9,20002.610106364038,1,0
59,Male,42841.578826629375,37,733.7183356352687,5,25252.88889220682,1,0
30,Male,38914.961288574064,43,761.2417070269146,10,11923.241292678738,0,0
68,Female,65555.8909157631,46,569.0231533042913,15,24247.95562937852,1,1
49,Female,61943.997999777006,46,701.6734761116426,12,18180.934672425537,1,0
56,Female,60148.45423537874,34,794.1289987056036,6,21815.550227170108,0,0
66,Male,81467.21278664065,48,590.1266618049783,7,8305.954471179311,1,1
69,Male,50138.182664299464,37,734.0449364467481,7,16714.40185642998,0,0
49,Female,67989.81624487511,34,689.3351485298464,4,3735.349519803971,0,0
21,Female,47334.92979310463,45,717.2339088605863,13,28690.40412248371,0,0
47,Male,38766.7628542648,39,597.0517206112594,15,0.0,1,1
54,Female,52881.034287749535,37,783.3629437156513,18,12161.9854429692,0,0
40,Male,47530.87032015921,26,603.1230678184055,18,7546.331246403023,1,0
56,Male,48779.90497093047,37,694.8450923033977,7,20397.603321617902,1,0
62,Male,89133.18544505404,47,645.573509871278,10,30391.56756743935,1,0
32,Female,53647.41364911114,38,687.5657244394133,16,20239.320789500205,0,0
60,Female,43427.333193003375,36,581.1606145361317,8,38690.26957561081,0,0
46,Male,60701.96935119977,45,564.0845330180224,19,3976.47858752928,1,1
53,Female,62605.698478210186,44,670.0921601318519,11,4590.5269397714765,1,0
30,Male,30327.969260148217,50,624.2923217612648,6,7855.086147076799,0,0
49,Male,52539.84320190391,41,621.9096694820067,10,15969.957562367248,1,0
24,Male,51532.89189753507,40,688.1372839707789,19,6784.620997734,0,0
68,Male,55696.39315728816,34,545.3725896322679,14,8986.697965559795,1,0
39,Female,78138.20932594963,39,734.48180236488,6,19963.868191418303,0,0
45,Male,63416.796779072065,35,658.3659019784692,4,5086.624935089458,0,0
19,Male,90698.43368463326,53,703.398040191014,15,5934.431896239186,0,0
59,Female,59708.49110277961,48,686.9143764696753,5,11811.689976079424,0,0
62,Male,104402.18200950162,37,690.7748339550127,16,12564.455433285431,1,0
23,Male,48480.62465670868,33,566.1079894480838,7,23080.125737770526,0,1
45,Female,40760.940470871894,35,731.5281666490226,2,7794.8820161750355,1,0
45,Female,73682.56686942435,40,669.1039880663279,13,9237.76012703282,0,0
61,Female,94102.04843662544,28,616.7504418989752,2,19653.36093023205,0,0
61,Male,25529.917385369343,49,641.2297090084325,9,21411.15459026706,1,1
37,Female,55075.23379464212,60,675.3495278784388,5,26429.795737012704,0,0
47,Female,44730.45137285323,30,662.6160176915253,3,18752.962838918033,1,0
28,Male,63571.275324801994,41,691.8069463526317,2,16042.912479694613,1,0
45,Male,60250.448087485114,39,765.7373081522463,14,19600.307253969233,0,0
42,Male,93634.53119069303,39,577.4354484035275,8,12860.69755289162,1,0
56,Male,57289.88017813042,47,702.5192155945433,12,12801.85924499617,1,0
50,Male,94369.60247425572,42,642.4890696987347,17,807.1175017699716,0,0
18,Female,52122.491599532856,41,729.9781308372396,16,22147.327653514672,1,0
44,Female,83162.0468776304,55,763.7953555638954,6,16691.671560413975,1,0
69,Female,65716.57570341798,37,663.728575377177,6,21216.314130946444,0,0
30,Male,103247.13496708611,35,693.4565362588285,18,0.0,1,0
58,Male,23074.6284296393,42,735.1245385505329,2,14623.186336851631,0,0
20,Male,30903.557056004385,35,719.8767374081237,8,8152.94794897894,1,0
56,Female,105790.55711645966,36,737.9739418231334,14,27010.900038561864,0,0
23,Female,41668.37266284115,46,629.1341127677289,2,19913.735323870635,1,0
25,Male,43254.91604810346,47,613.8182154741115,17,16873.88328648448,1,0
44,Female,38106.910362503644,32,570.4678034432142,16,11544.536245271805,0,1
26,Male,88711.14891334309,39,636.3261302478985,18,18177.666481053173,1,0
54,Female,28663.559669371887,36,644.1082682338622,6,7574.514964975165,0,0
50,Female,60561.26030694153,46,639.9478869963996,17,14202.197218513875,1,0
68,Female,53359.45445548656,35,684.4559918533573,18,10373.092904100638,0,0
59,Male,85912.88958761087,32,686.278101890332,14,33131.91723985353,0,0
61,Female,45907.933441708876,42,645.4200202861658,10,26759.58204952672,1,0
41,Female,70381.81447783185,43,674.273963203063,4,23504.379871862642,0,0
32,Male,30719.595665568257,37,707.8721012174404,18,3077.511822766737,0,0
49,Female,116848.52596693003,37,594.0849544380372,11,21913.25689827243,1,0
49,Male,54010.19188365728,38,715.3254360906197,16,16501.3334011355,1,0
41,Male,60219.08712213418,30,607.2044046844969,4,24787.681116129166,0,1
58,Male,101368.85897126354,48,750.7356252788209,19,17579.160761015515,0,0
69,Male,45333.18064236976,28,661.6370656485504,6,14946.258671693571,0,0
66,Male,101684.55857346542,34,654.4871240433926,8,16870.27437069247,1,0
66,Female,49713.22064655098,28,524.720910921315,18,554.9336670196408,0,0
69,Male,76792.45459553148,34,696.0522394053302,19,8860.77382265762,0,0
29,Male,45682.95899601753,32,656.6539954593366,18,17986.684309626176,0,0
56,Male,26099.08887138164,41,662.1903430604052,16,24115.10686725266,1,0
19,Male,70364.8587635154,47,643.484469345393,7,10596.055069503054,0,0
20,Female,75997.58502458832,43,693.7636962006843,17,14673.54496108853,0,0
66,Male,27102.856441844036,55,707.7830079396595,3,2192.0604425968777,1,0
54,Female,52323.5420272822,48,683.8816433959491,15,26674.48650683008,0,0
66,Male,90018.97403842266,40,742.194753915388,4,23909.93385786497,1,1
34,Female,75002.97376991526,39,599.6491377740007,16,20216.82094853759,0,0
66,Male,50119.62495539873,42,608.5005367354692,14,18254.449501047126,1,0
19,Male,45061.85745913861,47,678.4692578763803,17,27420.392521174377,1,0
19,Female,108706.10812836941,38,696.3244935705502,9,8559.912069482263,0,0
45,Male,23826.698254928546,42,686.16868738884,7,7694.7075493867305,0,0
40,Female,58520.03563978494,33,559.8729578158553,14,23492.158290051433,1,0
54,Male,23382.57815765139,43,565.8241571320384,12,22954.507053664995,1,0
49,Female,92870.36612110703,36,637.0649303876359,17,5452.035311286783,0,0
50,Male,59821.90969479158,41,524.7509636015812,9,10749.12094738507,0,0
18,Male,64454.35211923587,44,668.2627960239985,12,28512.745048619116,1,0
36,Female,129222.30774069023,30,644.7614964028692,12,18293.33862572723,0,0
19,Male,45163.183106590164,39,585.9876605970145,8,21297.292144145376,0,1
61,Male,103714.39785146335,34,611.3780147973924,10,5727.627659765147,0,0
43,Male,50231.702139795285,30,657.6809101813017,12,20253.156196297427,0,0
49,Male,54162.18856037754,43,545.453336444125,5,3643.667633832958,1,1
23,Male,125954.38141551499,48,607.7619977012644,1,0.0,0,0
49,Male,55972.74056845816,32,631.5627218531504,9,20814.591681446946,0,0
21,Female,25640.714892618802,43,629.0139161645476,15,26475.561357075912,1,0
28,Female,67047.96970315781,41,631.0257294328165,2,12969.711394006657,1,0
34,Female,55681.5793708249,43,745.1337909373528,4,10627.594545164335,0,0
55,Male,69177.39604334651,42,716.3988009757969,4,28686.789249970963,0,1
41,Female,56660.05516680577,35,604.980494558014,3,13441.733047083138,1,0
22,Male,115388.61540511911,50,577.3963711563206,16,14473.850211541923,0,1
69,Male,73918.39597089839,46,621.0654792267683,8,28551.657811522684,1,0
51,Male,33125.884306854554,27,735.9012123379731,7,12171.32149577432,0,0
23,Male,63113.67005059636,46,501.0883321177748,12,9767.779125241072,0,0
39,Female,40009.25439582403,31,655.8510719840515,12,21524.065793096703,0,0
28,Male,53807.153937426156,37,628.4362428850519,4,9305.150764967073,0,0
65,Female,37238.98223582943,41,733.8858307284803,15,13843.187695022543,0,0
33,Male,112677.96308015057,50,718.6803478312211,6,4446.731186302406,0,0
50,Female,42715.38462054446,47,547.2303311368618,3,16483.176707012102,1,1
26,Female,77189.10879985342,35,733.7656774457635,7,15544.779897624743,0,0
23,Female,51913.01445308432,43,486.63652649220967,6,22744.16219778515,0,0
33,Female,31039.670685680245,39,692.8593892164723,1,21858.052293293847,0,0
46,Female,64941.23257248767,39,699.143533870201,8,19412.144067756657,0,0
20,Female,70017.29592714267,41,767.9616992433466,1,18154.045542248103,1,0
37,Male,73965.66331886285,39,665.9141405298109,16,14413.967089981268,1,0
53,Female,0.0,38,603.4898163475967,3,19876.447751966425,0,1
36,Male,29128.857158272724,39,579.4145786915224,2,6101.342610648104,0,1
43,Female,83938.86797554712,49,752.2159725817273,6,0.0,1,0
20,Male,36909.8259347802,49,768.7978036331192,8,24295.341369703146,0,0
36,Female,65073.60125775278,36,618.606733830776,7,20393.28369798331,0,0
37,Female,28549.382619280364,43,651.5532957024682,7,13984.108525760683,1,0
49,Male,78290.027553961,32,745.4314060656794,19,23596.46886756789,1,0
24,Female,83281.73989988936,42,703.8347878137619,18,9148.020664427782,0,0
69,Female,78297.74765430918,34,636.925483714498,3,9356.059743334798,0,0
58,Female,85813.92030883994,35,596.8238617263737,11,8246.89821044666,1,1
50,Male,99097.50362248832,50,591.1094380863051,11,19540.975800927077,1,0
57,Female,30648.146709775632,45,716.7348404045653,3,2336.335382281977,0,0
56,Male,40283.20172121594,20,624.3098040884902,1,8864.30714574367,0,0
35,Female,82438.58925759487,41,621.5366738454826,10,17317.720185889084,1,0
57,Female,88255.49429593702,34,692.8332566319159,2,5366.791392619112,0,0
18,Male,43141.42616070186,46,655.6421259311069,17,9717.516754710516,1,0
28,Female,41402.8483668604,45,677.2608012401922,9,0.0,1,0
45,Female,43694.662751737356,43,627.317661240838,18,19846.4531952123,1,0
42,Male,19872.62589890135,38,624.4072076704151,9,9497.31845326177,0,0
67,Female,28214.720445648112,34,598.589199994,11,6205.749998870766,1,0
40,Male,28817.683874246166,51,699.6277767815899,17,4639.818192331399,1,0
48,Male,52647.53815485917,33,655.9537254576442,14,11654.291902359202,0,0
47,Male,66770.91289584886,39,670.5208889199786,18,2358.755304868482,1,0
59,Female,70836.8207910593,35,578.6184416860832,18,30539.03741718934,1,1
52,Male,47285.943668107975,46,698.6995191157893,12,0.0,0,0
24,Male,47900.32209297803,42,671.845568764897,18,11395.04680170808,1,0
33,Female,63091.53737878153,43,701.1212622647425,8,15855.25543433004,0,0
43,Male,22599.63607126432,37,674.159751675784,8,8796.967966907563,0,0
65,Female,83986.01330207722,45,670.021130877793,8,16697.053898344922,1,0
69,Female,92134.63197535677,30,522.5895549468053,15,8603.18740043071,1,0
66,Female,44360.484057799,30,729.6427129603701,8,27240.755709385194,1,1
19,Female,50039.09601628053,26,557.5679560941142,14,6048.983887121785,1,1
18,Male,91082.80562112924,45,722.59527052586,13,0.0,1,0
65,Male,56923.710225252515,45,644.9035216955917,8,4612.001196373427,0,0
29,Male,74706.13614879074,35,537.5297166045067,17,18091.9581985097,0,0
22,Male,57692.36515498065,45,643.9707197846035,19,14056.604963609085,1,0
54,Male,98907.68471200686,34,544.983616954772,6,21017.063263856933,1,0
49,Female,72251.9907062874,51,727.5587757737551,17,19013.956933687732,0,0
26,Male,73691.3942979798,33,613.8983769065615,4,9909.757202198369,1,0
58,Male,74157.66346833967,39,577.1170650377994,7,11087.332049635625,1,0
52,Male,46122.156591807194,45,696.2593693714903,17,11917.369794774193,1,0
36,Female,48419.02157693662,46,647.0354890777271,18,30074.76866797322,0,0
65,Female,79231.14098899937,42,686.4116962110543,6,20526.578517498958,0,0
33,Male,63160.32073584044,32,642.0272198895153,10,30133.495193428043,0,0
20,Female,30559.724804705675,35,730.9657246684852,18,21726.234978734512,0,0
37,Male,106827.61061561952,44,621.8940806967967,7,14491.332840627589,1,0
41,Male,84451.79668242749,49,539.6878030009742,14,6845.108104114681,1,0
50,Female,60940.65809612547,46,573.3987283584613,14,16612.15736918995,1,0
41,Female,53162.47545500087,37,680.4631652451748,10,14513.046622270156,0,0
69,Male,64966.89643825207,33,603.954226128265,9,14250.82171729429,1,0
28,Male,72938.00247893568,41,739.8370183368941,10,13327.207384806,0,0
66,Female,9174.98160824881,31,568.0524501547413,2,0.0,1,1
25,Male,112808.74273714385,45,721.2754300464121,3,25086.718532277242,0,0
53,Female,40252.892270827004,27,619.686547968314,16,14596.372086261461,1,0
55,Male,59952.35917528107,50,741.5273716222276,10,3685.975071770865,1,0
57,Female,60871.67206947865,51,685.3941735877179,11,18854.10167258916,1,0
37,Male,109921.25546722129,47,663.4753455913072,10,8153.310651147775,1,0
52,Male,57796.90397483263,36,696.5080174320335,12,19497.12498376626,1,0
65,Female,99712.68235884073,37,735.8657705557694,14,22053.251684099683,1,0
42,Male,70168.18673652784,33,646.4437481482315,9,23157.091925354543,1,0
52,Male,35952.87844485127,39,518.6101731444712,13,13712.666186761437,1,1
42,Female,63367.686702570114,42,734.0031887219427,6,11689.778175851863,1,0
46,Male,57037.28195712719,45,631.0128683738275,11,9995.693117882638,0,0
35,Male,32898.23787739428,41,829.1929481837976,1,9219.551292316026,0,1
63,Male,68943.06923680604,35,607.8115819106722,15,14862.159486312663,0,0
35,Female,60552.5687462464,45,623.3442902315055,7,13325.255500866084,0,0
19,Female,73910.5426364635,38,702.1111831263198,11,8397.569473422674,0,0
52,Female,64833.81948995787,32,703.3107996489165,17,5849.7219695767635,0,0
33,Male,43722.427574648245,47,679.5836602297022,5,14129.951261931341,1,0
58,Male,79208.34980725787,48,610.805191374073,9,11526.419056449355,1,0
53,Male,44390.04299366052,37,568.7864291759179,16,5869.064213745074,0,0
50,Male,0.0,42,602.6040203583837,11,21644.56810737126,0,0
21,Female,63216.32369885542,42,543.8339449897921,17,29176.74200660199,1,0
50,Male,46148.15681915026,41,794.4411876452118,6,22700.705711873798,1,0
31,Male,69553.26260991587,52,578.2763579022862,15,9238.495906591646,1,0
38,Male,109971.79339849285,37,629.4162085256328,3,14598.162523280509,1,0
65,Female,110693.49232870145,42,698.471471513095,9,27323.431613499684,0,0
37,Male,55871.926944454004,38,650.365499073959,12,5610.402857780056,0,0
25,Male,39337.12071884861,38,608.606478823834,19,21260.761013481802,1,0
24,Male,74617.08204794805,51,639.598734302979,18,3415.334334848081,0,0
20,Male,50744.36020334114,40,607.3987373834889,16,28472.30101945063,0,0
34,Male,69794.41305867356,49,632.1880198227541,8,11557.483801992083,1,0
50,Female,43478.48094432864,35,677.3382599298657,19,32832.3497961905,1,0
65,Male,66267.31040056881,46,577.431888034012,5,28824.51038913464,1,1
29,Male,39700.646192663095,37,725.6308487279022,12,14148.555923348897,1,0
68,Male,89606.33540078666,33,655.0880709097444,6,9244.757015116715,0,0
39,Male,45250.55773118469,55,609.1558426298045,12,16558.20377512731,1,0
39,Male,76527.56339337424,54,627.9056302053742,15,13558.72826682749,1,0
63,Male,28380.817920362024,40,731.7215292513663,10,11787.464291315258,0,0
47,Male,79529.34641526727,39,707.2886155402063,17,1735.0939633736234,1,0
55,Male,35840.398268294986,27,666.7980113386875,7,10883.571330763305,1,0
55,Male,66529.42017436273,47,607.967112851776,7,6116.1670259500825,0,0
62,Male,85580.02433369966,37,689.7770597797153,11,19413.181651401894,1,0
68,Female,55000.42753608052,42,650.9911635662952,2,22928.5705327794,1,0
25,Female,34270.82723135167,42,772.196832007109,2,20925.472031388774,0,1
44,Female,72420.31267839804,27,647.3718529453206,14,17739.00071702006,1,0
44,Female,38975.4650253363,30,767.8672434331844,18,8176.743462872786,1,1
51,Male,49893.86002006928,56,663.6381669981365,16,16643.20618081528,0,0
38,Female,66636.56648739318,40,577.4208432697371,11,21342.121149155006,0,1
47,Female,94016.90090269264,41,850.0,9,10310.11540480216,1,0
50,Male,60663.83384498672,42,548.7129034917931,7,15951.89137116005,1,0
45,Female,60571.43774612809,34,511.6293146323608,4,13836.307285840614,1,0
64,Female,78437.82234057128,31,504.7684924514216,16,28298.933356883877,1,1
50,Male,61259.29741682492,33,841.7777494795062,14,21812.385082116198,0,0
22,Male,75888.25499582246,38,798.6793308222497,11,19873.27689398713,0,0
65,Male,86963.33865157368,38,660.0808194668599,8,1266.4501282765214,0,0
36,Female,51806.571243300015,35,680.3899416806522,11,16382.698614140667,1,0
21,Female,0.0,41,667.5645048439419,17,13759.89256860344,0,0
52,Male,39551.82266036334,32,526.0540679835416,19,13690.743115441017,1,0
66,Male,90217.05027088258,36,752.117928267495,10,2492.692218066877,1,0
34,Female,59155.880465058646,49,742.950194925575,12,6297.8510216194445,0,0
61,Male,51521.74322680252,40,563.8234858513961,1,14455.860096753739,0,0
45,Female,89169.6248300802,38,672.7978165686409,2,23914.84622552369,0,0
47,Male,57466.8770942526,40,644.8610040825272,18,10275.803441284614,1,0
46,Male,7686.669856271103,34,635.21887139474,7,11800.49018316586,0,0
